"id","A_Kanton","D_Jahr","D_Forstzone","D_Eigentümertyp","D_Holzartengruppe","M_Holzernte.Total","M_Stammholz","M_Industrieholz","M_Energieholz.Total","M_Stück.Energieholz","M_X...Hack.Energieholz","M_Übrige.Sortimente"
14,"Schaffhausen",2019,"Schweiz","Öffentliche Wälder","Laubholz","31530","3516","8347","19667","9282","10385","0"
14,"Schaffhausen",2019,"Schweiz","Privatwälder","Holzartengruppe - Total","9626","3375","1139","5112","1383","3729","0"
14,"Schaffhausen",2019,"Schweiz","Privatwälder","Nadelholz","7119","3032","933","3154","466","2688","0"
14,"Schaffhausen",2019,"Schweiz","Privatwälder","Laubholz","2507","343","206","1958","917","1041","0"
15,"Appenzell Ausserrhoden",2019,"Schweiz","Eigentümertyp - Total","Holzartengruppe - Total","52346","32340","1828","18121","3488","14633","57"
15,"Appenzell Ausserrhoden",2019,"Schweiz","Eigentümertyp - Total","Nadelholz","45519","31738","1372","12379","1503","10876","30"
15,"Appenzell Ausserrhoden",2019,"Schweiz","Eigentümertyp - Total","Laubholz","6827","602","456","5742","1985","3757","27"
15,"Appenzell Ausserrhoden",2019,"Schweiz","Öffentliche Wälder","Holzartengruppe - Total","10849","7211","471","3160","705","2455","7"
15,"Appenzell Ausserrhoden",2019,"Schweiz","Öffentliche Wälder","Nadelholz","9645","7094","465","2081","150","1931","5"
15,"Appenzell Ausserrhoden",2019,"Schweiz","Öffentliche Wälder","Laubholz","1204","117","6","1079","555","524","2"
15,"Appenzell Ausserrhoden",2019,"Schweiz","Privatwälder","Holzartengruppe - Total","41497","25129","1357","14961","2783","12178","50"
15,"Appenzell Ausserrhoden",2019,"Schweiz","Privatwälder","Nadelholz","35874","24644","907","10298","1353","8945","25"
15,"Appenzell Ausserrhoden",2019,"Schweiz","Privatwälder","Laubholz","5623","485","450","4663","1430","3233","25"
16,"Appenzell Innerrhoden",2019,"Schweiz","Eigentümertyp - Total","Holzartengruppe - Total","26936","22268","138","4530","3087","1443","0"
16,"Appenzell Innerrhoden",2019,"Schweiz","Eigentümertyp - Total","Nadelholz","26671","22128","138","4405","2962","1443","0"
16,"Appenzell Innerrhoden",2019,"Schweiz","Eigentümertyp - Total","Laubholz","265","140","0","125","125","0","0"
16,"Appenzell Innerrhoden",2019,"Schweiz","Öffentliche Wälder","Holzartengruppe - Total","10044","7820","0","2224","781","1443","0"
16,"Appenzell Innerrhoden",2019,"Schweiz","Öffentliche Wälder","Nadelholz","10022","7811","0","2211","768","1443","0"
16,"Appenzell Innerrhoden",2019,"Schweiz","Öffentliche Wälder","Laubholz","22","9","0","13","13","0","0"
16,"Appenzell Innerrhoden",2019,"Schweiz","Privatwälder","Holzartengruppe - Total","16892","14448","138","2306","2306","0","0"
16,"Appenzell Innerrhoden",2019,"Schweiz","Privatwälder","Nadelholz","16649","14317","138","2194","2194","0","0"
16,"Appenzell Innerrhoden",2019,"Schweiz","Privatwälder","Laubholz","243","131","0","112","112","0","0"
17,"St. Gallen",2019,"Schweiz","Eigentümertyp - Total","Holzartengruppe - Total","262488","136519","15591","110138","45247","64891","240"
17,"St. Gallen",2019,"Schweiz","Eigentümertyp - Total","Nadelholz","167712","120302","7554","39670","10291","29379","186"
17,"St. Gallen",2019,"Schweiz","Eigentümertyp - Total","Laubholz","94776","16217","8037","70468","34956","35512","54"
17,"St. Gallen",2019,"Schweiz","Öffentliche Wälder","Holzartengruppe - Total","142071","75867","5632","60522","16753","43769","50"
17,"St. Gallen",2019,"Schweiz","Öffentliche Wälder","Nadelholz","94644","68801","3508","22289","2469","19820","46"
17,"St. Gallen",2019,"Schweiz","Öffentliche Wälder","Laubholz","47427","7066","2124","38233","14284","23949","4"
17,"St. Gallen",2019,"Schweiz","Privatwälder","Holzartengruppe - Total","120417","60652","9959","49616","28494","21122","190"
17,"St. Gallen",2019,"Schweiz","Privatwälder","Nadelholz","73068","51501","4046","17381","7822","9559","140"
17,"St. Gallen",2019,"Schweiz","Privatwälder","Laubholz","47349","9151","5913","32235","20672","11563","50"
18,"Graubünden / Grigioni / Grischun",2019,"Schweiz","Eigentümertyp - Total","Holzartengruppe - Total","354506","212751","3898","137725","75468","62257","132"
18,"Graubünden / Grigioni / Grischun",2019,"Schweiz","Eigentümertyp - Total","Nadelholz","335487","212176","3623","119574","66517","53057","114"
18,"Graubünden / Grigioni / Grischun",2019,"Schweiz","Eigentümertyp - Total","Laubholz","19019","575","275","18151","8951","9200","18"
18,"Graubünden / Grigioni / Grischun",2019,"Schweiz","Öffentliche Wälder","Holzartengruppe - Total","317276","192743","1448","122956","65902","57054","129"
18,"Graubünden / Grigioni / Grischun",2019,"Schweiz","Öffentliche Wälder","Nadelholz","304077","192237","1292","110434","60599","49835","114"
18,"Graubünden / Grigioni / Grischun",2019,"Schweiz","Öffentliche Wälder","Laubholz","13199","506","156","12522","5303","7219","15"
18,"Graubünden / Grigioni / Grischun",2019,"Schweiz","Privatwälder","Holzartengruppe - Total","37230","20008","2450","14769","9566","5203","3"
18,"Graubünden / Grigioni / Grischun",2019,"Schweiz","Privatwälder","Nadelholz","31410","19939","2331","9140","5918","3222","0"
18,"Graubünden / Grigioni / Grischun",2019,"Schweiz","Privatwälder","Laubholz","5820","69","119","5629","3648","1981","3"
19,"Aargau",2019,"Schweiz","Eigentümertyp - Total","Holzartengruppe - Total","401833","157389","49945","194407","39774","154633","92"
19,"Aargau",2019,"Schweiz","Eigentümertyp - Total","Nadelholz","233978","128618","31917","73381","6916","66465","62"
19,"Aargau",2019,"Schweiz","Eigentümertyp - Total","Laubholz","167855","28771","18028","121026","32858","88168","30"
19,"Aargau",2019,"Schweiz","Öffentliche Wälder","Holzartengruppe - Total","328888","126757","41223","160908","24303","136605","0"
19,"Aargau",2019,"Schweiz","Öffentliche Wälder","Nadelholz","187545","102655","25753","59137","1479","57658","0"
19,"Aargau",2019,"Schweiz","Öffentliche Wälder","Laubholz","141343","24102","15470","101771","22824","78947","0"
19,"Aargau",2019,"Schweiz","Privatwälder","Holzartengruppe - Total","72945","30632","8722","33499","15471","18028","92"
19,"Aargau",2019,"Schweiz","Privatwälder","Nadelholz","46433","25963","6164","14244","5437","8807","62"
19,"Aargau",2019,"Schweiz","Privatwälder","Laubholz","26512","4669","2558","19255","10034","9221","30"
20,"Thurgau",2019,"Schweiz","Eigentümertyp - Total","Holzartengruppe - Total","149402","70834","7670","70770","21300","49470","128"
20,"Thurgau",2019,"Schweiz","Eigentümertyp - Total","Nadelholz","104082","62378","7400","34258","4971","29287","46"
20,"Thurgau",2019,"Schweiz","Eigentümertyp - Total","Laubholz","45320","8456","270","36512","16329","20183","82"
20,"Thurgau",2019,"Schweiz","Öffentliche Wälder","Holzartengruppe - Total","64887","30404","2899","31503","8983","22520","81"
20,"Thurgau",2019,"Schweiz","Öffentliche Wälder","Nadelholz","40412","25362","2712","12334","888","11446","4"
20,"Thurgau",2019,"Schweiz","Öffentliche Wälder","Laubholz","24475","5042","187","19169","8095","11074","77"
20,"Thurgau",2019,"Schweiz","Privatwälder","Holzartengruppe - Total","84515","40430","4771","39267","12317","26950","47"
20,"Thurgau",2019,"Schweiz","Privatwälder","Nadelholz","63670","37016","4688","21924","4083","17841","42"
20,"Thurgau",2019,"Schweiz","Privatwälder","Laubholz","20845","3414","83","17343","8234","9109","5"
21,"Ticino",2019,"Schweiz","Eigentümertyp - Total","Holzartengruppe - Total","92578","12507","2956","77115","70849","6266","0"
21,"Ticino",2019,"Schweiz","Eigentümertyp - Total","Nadelholz","30571","12253","2855","15463","13763","1700","0"
21,"Ticino",2019,"Schweiz","Eigentümertyp - Total","Laubholz","62007","254","101","61652","57086","4566","0"
21,"Ticino",2019,"Schweiz","Öffentliche Wälder","Holzartengruppe - Total","75811","12295","2956","60560","54294","6266","0"
21,"Ticino",2019,"Schweiz","Öffentliche Wälder","Nadelholz","29581","12124","2855","14602","12902","1700","0"
21,"Ticino",2019,"Schweiz","Öffentliche Wälder","Laubholz","46230","171","101","45958","41392","4566","0"
21,"Ticino",2019,"Schweiz","Privatwälder","Holzartengruppe - Total","16767","212","0","16555","16555","0","0"
21,"Ticino",2019,"Schweiz","Privatwälder","Nadelholz","990","129","0","861","861","0","0"
21,"Ticino",2019,"Schweiz","Privatwälder","Laubholz","15777","83","0","15694","15694","0","0"
22,"Vaud",2019,"Schweiz","Eigentümertyp - Total","Holzartengruppe - Total","385748","201827","36035","147399","120430","26969","487"
22,"Vaud",2019,"Schweiz","Eigentümertyp - Total","Nadelholz","252133","188810","28535","34609","25858","8751","179"
22,"Vaud",2019,"Schweiz","Eigentümertyp - Total","Laubholz","133615","13017","7500","112790","94572","18218","308"
22,"Vaud",2019,"Schweiz","Öffentliche Wälder","Holzartengruppe - Total","315619","170988","28036","116154","90450","25704","441"
22,"Vaud",2019,"Schweiz","Öffentliche Wälder","Nadelholz","209452","159455","22342","27522","19729","7793","133"
22,"Vaud",2019,"Schweiz","Öffentliche Wälder","Laubholz","106167","11533","5694","88632","70721","17911","308"
22,"Vaud",2019,"Schweiz","Privatwälder","Holzartengruppe - Total","70129","30839","7999","31245","29980","1265","46"
22,"Vaud",2019,"Schweiz","Privatwälder","Nadelholz","42681","29355","6193","7087","6129","958","46"
22,"Vaud",2019,"Schweiz","Privatwälder","Laubholz","27448","1484","1806","24158","23851","307","0"
23,"Valais / Wallis",2019,"Schweiz","Eigentümertyp - Total","Holzartengruppe - Total","103554","41809","13607","48127","24463","23664","11"
23,"Valais / Wallis",2019,"Schweiz","Eigentümertyp - Total","Nadelholz","95442","41809","13465","40157","19386","20771","11"
23,"Valais / Wallis",2019,"Schweiz","Eigentümertyp - Total","Laubholz","8112","0","142","7970","5077","2893","0"
23,"Valais / Wallis",2019,"Schweiz","Öffentliche Wälder","Holzartengruppe - Total","99523","40694","13333","45485","22490","22995","11"
