 "taxonLabel" , "artenGruppeLabel" , "status" , "year" , "totalSpecies" ,
 "Tipulidae" , "Schnaken" , "https://environment.ld.admin.ch/foen/red-lists/status/LC" , "1994-01-01" , "84" ,
 "Lepidoptera, Rhopalocera, Zygaenidae" , "Tagfalter und Widderchen" , "https://environment.ld.admin.ch/foen/red-lists/status/RE" , "1994-01-01" , "0" ,
 "Lepidoptera, Rhopalocera, Zygaenidae" , "Tagfalter und Widderchen" , "https://environment.ld.admin.ch/foen/red-lists/status/CR" , "1994-01-01" , "12" ,
 "Lepidoptera, Rhopalocera, Zygaenidae" , "Tagfalter und Widderchen" , "https://environment.ld.admin.ch/foen/red-lists/status/EN" , "1994-01-01" , "49" ,
 "Lepidoptera, Rhopalocera, Zygaenidae" , "Tagfalter und Widderchen" , "https://environment.ld.admin.ch/foen/red-lists/status/VU" , "1994-01-01" , "39" ,
 "Lepidoptera, Rhopalocera, Zygaenidae" , "Tagfalter und Widderchen" , "https://environment.ld.admin.ch/foen/red-lists/status/NT" , "1994-01-01" , "13" ,
 "Lepidoptera, Rhopalocera, Zygaenidae" , "Tagfalter und Widderchen" , "https://environment.ld.admin.ch/foen/red-lists/status/LC" , "1994-01-01" , "79" ,
 "Lepidoptera, Rhopalocera, Zygaenidae" , "Tagfalter und Widderchen" , "https://environment.ld.admin.ch/foen/red-lists/status/RE" , "2014-01-01" , "3" ,
 "Lepidoptera, Rhopalocera, Zygaenidae" , "Tagfalter und Widderchen" , "https://environment.ld.admin.ch/foen/red-lists/status/CR" , "2014-01-01" , "10" ,
 "Lepidoptera, Rhopalocera, Zygaenidae" , "Tagfalter und Widderchen" , "https://environment.ld.admin.ch/foen/red-lists/status/EN" , "2014-01-01" , "27" ,
 "Lepidoptera, Rhopalocera, Zygaenidae" , "Tagfalter und Widderchen" , "https://environment.ld.admin.ch/foen/red-lists/status/VU" , "2014-01-01" , "38" ,
 "Lepidoptera, Rhopalocera, Zygaenidae" , "Tagfalter und Widderchen" , "https://environment.ld.admin.ch/foen/red-lists/status/NT" , "2014-01-01" , "44" ,
 "Lepidoptera, Rhopalocera, Zygaenidae" , "Tagfalter und Widderchen" , "https://environment.ld.admin.ch/foen/red-lists/status/LC" , "2014-01-01" , "104" ,
 "Lepidoptera, Rhopalocera, Zygaenidae" , "Tagfalter und Widderchen" , "https://environment.ld.admin.ch/foen/red-lists/status/DD" , "2014-01-01" , "0" ,
 "Trichoptera" , "Köcherfliegen" , "https://environment.ld.admin.ch/foen/red-lists/status/RE" , "2012-01-01" , "17" ,
 "Trichoptera" , "Köcherfliegen" , "https://environment.ld.admin.ch/foen/red-lists/status/CR" , "2012-01-01" , "29" ,
 "Trichoptera" , "Köcherfliegen" , "https://environment.ld.admin.ch/foen/red-lists/status/EN" , "2012-01-01" , "47" ,
 "Trichoptera" , "Köcherfliegen" , "https://environment.ld.admin.ch/foen/red-lists/status/VU" , "2012-01-01" , "54" ,
 "Trichoptera" , "Köcherfliegen" , "https://environment.ld.admin.ch/foen/red-lists/status/NT" , "2012-01-01" , "43" ,
 "Trichoptera" , "Köcherfliegen" , "https://environment.ld.admin.ch/foen/red-lists/status/LC" , "2012-01-01" , "101" ,
 "Trichoptera" , "Köcherfliegen" , "https://environment.ld.admin.ch/foen/red-lists/status/DD" , "2012-01-01" , "11" ,
 "Formicidae" , "Ameisen" , "https://environment.ld.admin.ch/foen/red-lists/status/RE" , "1994-01-01" , "3" ,
 "Formicidae" , "Ameisen" , "https://environment.ld.admin.ch/foen/red-lists/status/CR" , "1994-01-01" , "5" ,
 "Formicidae" , "Ameisen" , "https://environment.ld.admin.ch/foen/red-lists/status/EN" , "1994-01-01" , "17" ,
 "Formicidae" , "Ameisen" , "https://environment.ld.admin.ch/foen/red-lists/status/VU" , "1994-01-01" , "21" ,
 "Formicidae" , "Ameisen" , "https://environment.ld.admin.ch/foen/red-lists/status/NT" , "1994-01-01" , "17" ,
 "Formicidae" , "Ameisen" , "https://environment.ld.admin.ch/foen/red-lists/status/LC" , "1994-01-01" , "69" ,
 "Apidae" , "Bienen" , "https://environment.ld.admin.ch/foen/red-lists/status/RE" , "1994-01-01" , "67" ,
 "Apidae" , "Bienen" , "https://environment.ld.admin.ch/foen/red-lists/status/CR" , "1994-01-01" , "25" ,
 "Apidae" , "Bienen" , "https://environment.ld.admin.ch/foen/red-lists/status/EN" , "1994-01-01" , "42" ,
 "Apidae" , "Bienen" , "https://environment.ld.admin.ch/foen/red-lists/status/VU" , "1994-01-01" , "125" ,
 "Apidae" , "Bienen" , "https://environment.ld.admin.ch/foen/red-lists/status/NT" , "1994-01-01" , "37" ,
 "Apidae" , "Bienen" , "https://environment.ld.admin.ch/foen/red-lists/status/LC" , "1994-01-01" , "279" ,
 "Carabidae" , "Laufkäfer" , "https://environment.ld.admin.ch/foen/red-lists/status/RE" , "1994-01-01" , "32" ,
 "Carabidae" , "Laufkäfer" , "https://environment.ld.admin.ch/foen/red-lists/status/CR" , "1994-01-01" , "45" ,
 "Carabidae" , "Laufkäfer" , "https://environment.ld.admin.ch/foen/red-lists/status/EN" , "1994-01-01" , "37" ,
 "Carabidae" , "Laufkäfer" , "https://environment.ld.admin.ch/foen/red-lists/status/VU" , "1994-01-01" , "34" ,
 "Carabidae" , "Laufkäfer" , "https://environment.ld.admin.ch/foen/red-lists/status/NT" , "1994-01-01" , "72" ,
 "Carabidae" , "Laufkäfer" , "https://environment.ld.admin.ch/foen/red-lists/status/LC" , "1994-01-01" , "285" ,
 "Hydradephaga" , "Wasserkäfer" , "https://environment.ld.admin.ch/foen/red-lists/status/RE" , "1994-01-01" , "0" ,
 "Hydradephaga" , "Wasserkäfer" , "https://environment.ld.admin.ch/foen/red-lists/status/CR" , "1994-01-01" , "8" ,
 "Hydradephaga" , "Wasserkäfer" , "https://environment.ld.admin.ch/foen/red-lists/status/EN" , "1994-01-01" , "42" ,
 "Hydradephaga" , "Wasserkäfer" , "https://environment.ld.admin.ch/foen/red-lists/status/VU" , "1994-01-01" , "47" ,
 "Hydradephaga" , "Wasserkäfer" , "https://environment.ld.admin.ch/foen/red-lists/status/NT" , "1994-01-01" , "12" ,
 "Hydradephaga" , "Wasserkäfer" , "https://environment.ld.admin.ch/foen/red-lists/status/LC" , "1994-01-01" , "46" ,
 "Neuropteroidea, Raphidioptera, Megaloptera, Neuroptera" , "Netzflügler" , "https://environment.ld.admin.ch/foen/red-lists/status/RE" , "1994-01-01" , "0" ,
 "Neuropteroidea, Raphidioptera, Megaloptera, Neuroptera" , "Netzflügler" , "https://environment.ld.admin.ch/foen/red-lists/status/CR" , "1994-01-01" , "2" ,
 "Neuropteroidea, Raphidioptera, Megaloptera, Neuroptera" , "Netzflügler" , "https://environment.ld.admin.ch/foen/red-lists/status/EN" , "1994-01-01" , "5" ,
 "Neuropteroidea, Raphidioptera, Megaloptera, Neuroptera" , "Netzflügler" , "https://environment.ld.admin.ch/foen/red-lists/status/VU" , "1994-01-01" , "14" ,
 "Neuropteroidea, Raphidioptera, Megaloptera, Neuroptera" , "Netzflügler" , "https://environment.ld.admin.ch/foen/red-lists/status/NT" , "1994-01-01" , "10" ,
 "Neuropteroidea, Raphidioptera, Megaloptera, Neuroptera" , "Netzflügler" , "https://environment.ld.admin.ch/foen/red-lists/status/LC" , "1994-01-01" , "85" ,
 "Plecoptera" , "Steinfliegen" , "https://environment.ld.admin.ch/foen/red-lists/status/RE" , "2012-01-01" , "7" ,
 "Plecoptera" , "Steinfliegen" , "https://environment.ld.admin.ch/foen/red-lists/status/CR" , "2012-01-01" , "10" ,
 "Plecoptera" , "Steinfliegen" , "https://environment.ld.admin.ch/foen/red-lists/status/EN" , "2012-01-01" , "14" ,
 "Plecoptera" , "Steinfliegen" , "https://environment.ld.admin.ch/foen/red-lists/status/VU" , "2012-01-01" , "13" ,
 "Plecoptera" , "Steinfliegen" , "https://environment.ld.admin.ch/foen/red-lists/status/NT" , "2012-01-01" , "19" ,
 "Plecoptera" , "Steinfliegen" , "https://environment.ld.admin.ch/foen/red-lists/status/LC" , "2012-01-01" , "46" ,
 "Plecoptera" , "Steinfliegen" , "https://environment.ld.admin.ch/foen/red-lists/status/DD" , "2012-01-01" , "2" ,
 "Ephemeroptera" , "Eintagsfliegen" , "https://environment.ld.admin.ch/foen/red-lists/status/RE" , "1994-01-01" , "1" ,
 "Ephemeroptera" , "Eintagsfliegen" , "https://environment.ld.admin.ch/foen/red-lists/status/CR" , "1994-01-01" , "15" ,
 "Ephemeroptera" , "Eintagsfliegen" , "https://environment.ld.admin.ch/foen/red-lists/status/EN" , "1994-01-01" , "10" ,
 "Ephemeroptera" , "Eintagsfliegen" , "https://environment.ld.admin.ch/foen/red-lists/status/VU" , "1994-01-01" , "10" ,
 "Ephemeroptera" , "Eintagsfliegen" , "https://environment.ld.admin.ch/foen/red-lists/status/NT" , "1994-01-01" , "21" ,
 "Ephemeroptera" , "Eintagsfliegen" , "https://environment.ld.admin.ch/foen/red-lists/status/LC" , "1994-01-01" , "25" ,
 "Ephemeroptera" , "Eintagsfliegen" , "https://environment.ld.admin.ch/foen/red-lists/status/RE" , "2012-01-01" , "3" ,
 "Ephemeroptera" , "Eintagsfliegen" , "https://environment.ld.admin.ch/foen/red-lists/status/CR" , "2012-01-01" , "12" ,
 "Ephemeroptera" , "Eintagsfliegen" , "https://environment.ld.admin.ch/foen/red-lists/status/EN" , "2012-01-01" , "7" ,
 "Ephemeroptera" , "Eintagsfliegen" , "https://environment.ld.admin.ch/foen/red-lists/status/VU" , "2012-01-01" , "14" ,
 "Ephemeroptera" , "Eintagsfliegen" , "https://environment.ld.admin.ch/foen/red-lists/status/NT" , "2012-01-01" , "9" ,
 "Ephemeroptera" , "Eintagsfliegen" , "https://environment.ld.admin.ch/foen/red-lists/status/LC" , "2012-01-01" , "39" ,
 "Ephemeroptera" , "Eintagsfliegen" , "https://environment.ld.admin.ch/foen/red-lists/status/DD" , "2012-01-01" , "2" ,
 "Orthoptera" , "Heuschrecken" , "https://environment.ld.admin.ch/foen/red-lists/status/RE" , "1994-01-01" , "5" ,
 "Orthoptera" , "Heuschrecken" , "https://environment.ld.admin.ch/foen/red-lists/status/CR" , "1994-01-01" , "14" ,
