"subject","predicate","object"
"https://energy.ld.admin.ch/sfoe/bfe_ogd100_kennzahlensharedmobility/3","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://cube.link/Cube"
"https://energy.ld.admin.ch/sfoe/bfe_ogd100_kennzahlensharedmobility/3","https://cube.link/observationConstraint","https://energy.ld.admin.ch/sfoe/bfe_ogd100_kennzahlensharedmobility/3/shape/"
"https://energy.ld.admin.ch/sfoe/bfe_ogd100_kennzahlensharedmobility/3","http://www.w3.org/ns/dcat#theme","https://register.ld.admin.ch/opendataswiss/category/territory"
"https://energy.ld.admin.ch/sfoe/bfe_ogd100_kennzahlensharedmobility/3","http://purl.org/dc/terms/publisher","Bundesamt für Energie BFE"
"https://energy.ld.admin.ch/sfoe/bfe_ogd100_kennzahlensharedmobility/3","http://schema.org/creativeWorkStatus","https://ld.admin.ch/vocabulary/CreativeWorkStatus/Published"
"https://energy.ld.admin.ch/sfoe/bfe_ogd100_kennzahlensharedmobility/3","http://schema.org/creativeWorkStatus","https://ld.admin.ch/vocabulary/CreativeWorkStatus/Published"
"https://energy.ld.admin.ch/sfoe/bfe_ogd100_kennzahlensharedmobility/3","http://schema.org/creator","https://register.ld.admin.ch/opendataswiss/org/bundesamt-fur-energie-bfe"
"https://energy.ld.admin.ch/sfoe/bfe_ogd100_kennzahlensharedmobility/3","http://schema.org/datePublished","2023-02-08"
"https://energy.ld.admin.ch/sfoe/bfe_ogd100_kennzahlensharedmobility/3","http://schema.org/description","Das Bundesamt für Energie (BFE) publiziert die Standorte und die Verfügbarkeit von Shared Mobility Angeboten als Echtzeit-Daten auf sharedmobility.ch. Um diese Entwicklung zu dokumentieren, werden die Daten regelmässig ausgewertet und Kennzahlen zum Shared Mobility Angebot abgeleitet.   Die Kennzahlen werden stündlich erhoben und anschliessend pro Agglomeration ausgewertet."
"https://energy.ld.admin.ch/sfoe/bfe_ogd100_kennzahlensharedmobility/3","http://schema.org/name","Kennzahlen Shared Mobility"
"https://energy.ld.admin.ch/sfoe/bfe_ogd100_kennzahlensharedmobility/3","http://schema.org/workExample","https://ld.admin.ch/application/visualize"
